750 0 0 0 0
751 0 0 0 0
752 0 0 0 0
753 0 0 0 0
754 3 380 3 380
755 0 0 0 0
756 0 0 0 0
757 0 0 0 0
758 0 0 0 0
759 3 156 3 156
760 0 0 0 0
761 0 0 0 0
762 0 0 0 0
763 0 0 0 0
764 0 0 0 0
765 0 0 0 0
766 0 0 0 0
767 0 0 0 0
768 0 0 0 0
769 0 0 0 0
770 0 0 0 0
771 0 0 0 0
772 0 0 0 0
773 0 0 0 0
774 19 4206 19 4206
775 27 3804 27 3804
776 45 4852 45 4852
777 0 0 0 0
778 3 476 3 476
779 17 3508 17 3508
780 0 0 0 0
781 0 0 0 0
782 7 892 7 892
783 0 0 0 0
784 0 0 0 0
785 0 0 0 0
786 0 0 0 0
787 0 0 0 0
788 0 0 0 0
789 0 0 0 0
790 0 0 0 0
791 0 0 0 0
792 0 0 0 0
793 0 0 0 0
794 0 0 0 0
795 0 0 0 0
796 0 0 0 0
797 0 0 0 0
798 0 0 0 0
799 0 0 0 0
800 0 0 0 0
801 0 0 0 0
802 0 0 0 0
803 43 7070 43 7070
804 0 0 0 0
805 0 0 0 0
806 0 0 0 0
807 0 0 0 0
808 0 0 0 0
809 3 380 3 380
810 0 0 0 0
811 0 0 0 0
812 0 0 0 0
813 0 0 0 0
814 0 0 0 0
815 0 0 0 0
816 5 596 5 596
817 0 0 0 0
818 0 0 0 0
819 9 1236 9 1236
820 0 0 0 0
821 0 0 0 0
822 0 0 0 0
823 0 0 0 0
824 0 0 0 0
825 0 0 0 0
826 0 0 0 0
827 0 0 0 0
828 0 0 0 0
829 9 964 9 964
830 0 0 0 0
831 0 0 0 0
832 0 0 0 0
833 0 0 0 0
834 0 0 0 0
835 0 0 0 0
836 0 0 0 0
837 0 0 0 0
838 0 0 0 0
839 0 0 0 0
840 0 0 0 0
841 0 0 0 0
842 3 380 3 380
843 0 0 0 0
844 0 0 0 0
845 0 0 0 0
846 0 0 0 0
847 3 428 3 428
848 0 0 0 0
849 0 0 0 0
850 0 0 0 0
851 29 2788 29 2788
852 0 0 0 0
853 0 0 0 0
854 0 0 0 0
855 0 0 0 0
856 0 0 0 0
857 0 0 0 0
858 0 0 0 0
859 0 0 0 0
860 0 0 0 0
861 33 3076 33 3076
862 0 0 0 0
863 0 0 0 0
864 0 0 0 0
865 0 0 0 0
866 0 0 0 0
867 0 0 0 0
868 0 0 0 0
869 0 0 0 0
